2024-09-21 20:28:19 root         INFO     Starting GetRecords Consumer
2024-09-21 20:28:19 botocore.credentials INFO     Found credentials from IAM Role: LabInstanceRole
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '6e534a91-77eb-40f0-b3e1-990b0c4245c3', 'customer_number': 246, 'city': 'Vancouver', 'country': 'Canada', 'credit_limit': 93629, 'browse_history': [{'product_code': 'S32_2206', 'quantity': '5', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884149670498935909531579842562
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '6e534a91-77eb-40f0-b3e1-990b0c4245c3', 'customer_number': 246, 'city': 'Vancouver', 'country': 'Canada', 'credit_limit': 93629, 'browse_history': [{'product_code': 'S32_2206', 'quantity': '5', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 426082), 'overall_product_quantity': 5, 'overall_in_shopping_cart': 0, 'total_different_products': 1}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '5b54e951-c78f-4dfd-9025-dbfa75b9af06', 'customer_number': 222, 'city': 'New Haven', 'country': 'USA', 'credit_limit': 77673, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S32_2206', 'quantity': '10', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884154506202214370865777213442
2024-09-21 20:28:20 root         INFO     Processed User Session {'session_id': '5b54e951-c78f-4dfd-9025-dbfa75b9af06', 'customer_number': 222, 'city': 'New Haven', 'country': 'USA', 'credit_limit': 77673, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S32_2206', 'quantity': '10', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 426434), 'overall_product_quantity': 16, 'overall_in_shopping_cart': 1, 'total_different_products': 4}
2024-09-21 20:28:20 root         INFO     Produced record 49656053247390747322299060887151232461828606200524046338 to Shard shardId-000000000000


2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '3e057f22-f3d5-4f95-8227-1672aad6a3ca', 'customer_number': 250, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 89352, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3420', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3232', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S24_3432', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884158132979673218464153075714
2024-09-21 20:28:20 root         INFO     Processed User Session {'session_id': '3e057f22-f3d5-4f95-8227-1672aad6a3ca', 'customer_number': 250, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 89352, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3420', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3232', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S24_3432', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2766', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 452371), 'overall_product_quantity': 30, 'overall_in_shopping_cart': 19, 'total_different_products': 5}
